REFERENCE,PLACENAME,DESIGNATION,STATUS,GAZETTE DATE,GEOGRAPHICAL NAME,PREVIOUS NAMES,GNB FILE,LGA,APPROX. AGD66 LAT,APPROX. AGD66 LONG,APPROX. GDA94 LAT,APPROX. GDA94 LONG,AGD66 TOPO MAP,1:100000 MAP NAME,1:100000 MAP NO,PARISH,COUNTY,DESCRIPTION,MEANING,ORIGIN,HISTORY
45148,Parsley Bay,BAY,ASSIGNED,8th October 1976,"","","",HORNSBY,-33  33  00, 151  14  00,-33  32  54, 151  14  04,COWAN,SYDNEY,9130,COWAN,CUMBERLAND,A bay about 2 km NW by W of Shelly Beach and about 2 km E of Bywater.           ,   ,PARSLEY BAY - name derived from native parsley growing there. P. 334. Infor. from RAHS Journal Vo. 31 Pt 5.   ,  
45149,Parsley Bay,BAY,ASSIGNED,16th July 1976,"","","",WOOLLAHRA,-33  51  00, 151  16  30,-33  50  54, 151  16  34,SYDNEY HEADS,SYDNEY,9130,ALEXANDRIA,CUMBERLAND,A bay within Sydney Harbour about 1km NW by W of Macquarie Lighthouse trig station.          ,   ,"Although there is little evidence, it is said that Parsely Bay was named after a man named Parsley who was granted 80 acres at a site as being 'at the head of Parsely Bay' Maritime Services Board,Port of Sydney, Vo19 No2 Sept 1965. ",PARSLEY BAY - named after a Private Parsley. P. 316. (Infor. from RAHS  Journal Vol 31 Pt 5) 
45196,Pasture Bay,BAY,ASSIGNED,12th June 1981,"","","",SNOWY RIVER,-36  08  00, 148  45  00,-36  07  54, 148  45  04,WAMBROOK,BERRIDALE,8625,BUCKENDERRA,WALLACE,A bay within Lake Eucumbene about 2 km E by S of Quarry Point and about 2 km N of Clover Point.          ,   ,    ,  
45232,Pats Bay,BAY,ASSIGNED,21st November 1969,"","","",SHOALHAVEN,-35  06  00, 150  35  00,-35  05  54, 150  35  04,CURRARONG,JERVIS BAY,9027,FARNHAM,ST VINCENT,"A small bay in St. Georges Basin, between Tallyan Point and Pelican Point about 0.75 km E of Basin View.          ",   ,    ,  
45290,Peach Tree Bay,BAY,ASSIGNED,18th February 1977,"","","",MANLY,-33  48  00, 151  14  00,-33  47  54, 151  14  04,PARRAMATTA RIVER,SYDNEY,9130,MANLY COVE,CUMBERLAND,A bay within Middle Harbour about 1 km NNE of Fig Tree Point.           ,   ,    ,  
45402,Pearl Bay,BAY,ASSIGNED,25th February 1977,"","","",MOSMAN,-33  48  00, 151  14  00,-33  47  54, 151  14  04,PARRAMATTA RIVER,SYDNEY,9130,WILLOUGHBY,CUMBERLAND,A bay within Middle Harbour about 1 km SE by E of Seaforth Bluff.           ,   ,PERAL BAY - probably named because it is one of the game of Sydney Harbour. P. 333. (Infr. from RAHS Journal Vol 31 Pt 5)  ,  
45427,Peats Bight,BAY,ASSIGNED,8th October 1976,"","","",HORNSBY,-33  32  30, 151  10  00,-33  32  24, 151  10  04,COWAN,SYDNEY,9130,COWAN,CUMBERLAND,A bay about 2 km NW of Point Loop and about 3 km East of Shuttle Trig. Station.          ,   ,Named after George Peat who obtained a grant of 50 acres here in 1836 and who also operated a lugger as a ferry.   ,  
45869,Phegans Bay,BAY,ASSIGNED,4th January 1974,"","","",GOSFORD,-33  29  22, 151  18  38,-33  29  16, 151  18  42,GOSFORD,GOSFORD,9131,PATONGA,NORTHUMBERLAND,A bay within Woy Woy Inlet about 1 km W of Woy Woy.           ,   ,    ,  
45977,Picnic Bay,BAY,ASSIGNED,22nd December 1967,"","","",SHOALHAVEN,-35  16  00, 150  28  00,-35  15  54, 150  28  04,MILTON,ULLADULLA,8927,CONJOLA,ST VINCENT,"A small bay in the north eastern shoreline of the southern branch of Conjola Lake, being about 300 yards long by about 150 yards wide. It is north of Robert Point about 1/2 mile.         ",   ,    ,  
46261,Pindimar Bay,BAY,ASSIGNED,17th September 1976,"","","",PORT STEPHENS,-32  40  00, 152  07  00,-32  39  54, 152  07  04,PORT STEPHENS,PORT STEPHENS,9332,TOMAREE,GLOUCESTER,A bay within Port Stephens E of Cut Feet Island.           ,   ,    ,  
